00A695A8	Michael	迈克尔
00A69EF8	Beverly Hills Young Female 4	比佛利山庄年轻女性4
00A69F18	Beverly Hills Young Male	比佛利山庄年轻男
00A69F38	Beverly Hills Young Male 2	比佛利山庄年轻男 2
00A69F58	Bigfoot	大脚
00A69F60	Bike Hire Guy	自行车员
00A69F70	Biker Chic Female	骑摩托车女
00A69F88	Black Ops Soldier	黑色行动兵
00A69FA0	Black Ops Soldier 2	黑色行动士兵2
00A69FB8	Black Street Male	黑人街区男
00A69FD0	Black Street Male 2	黑人街区男性2
00A69FE8	Bodybuilder Female	健美漂亮女性
00A6A000	Bouncer	保镖
00A6A008	Brad	德
00A6A010	Brad's Cadaver	布拉德尸ti
00A6A020	Breakdancer Male	街舞男性
00A6A034	Bride	x娘
00A6A040	Burger Drug Worker	汉堡店吸毒工
00A6A054	Busboy	餐工
00A6A060	Business Casual	商务休闲人
00A6A070	Business Female 2	商务休闲女 2
00A6A088	Business Male	商务男性
00A6A098	Business Young Female	商务年轻女性
00A6A0B0	Business Young Female 2	商务年轻女性 2
00A6A0C8	Business Young Female 3	商务年轻女性 3
00A6A0E0	Business Young Female 4	商务年轻女性 4
00A6A0F8	Business Young Male	商务年轻男性
00A6A110	Business Young Male 2	商务年轻男性 2
00A6A128	Business Young Male 3	商务年轻男性 3
00A6A140	Busker	街艺
00A6A148	Car 3 Guy 1	车3号人1
00A6A158	Car 3 Guy 2	车3号人2
00A6A168	Car Buyer	买车人
00A6A174	Casey	凯xi
00A6A180	Chef aka Head Cook	厨师(或主厨)
00A6A194	Chef	厨s
00A6A1A0	Chemical Plant Security	化工厂保安人员
00A6A1B8	Chemical Plant Worker	化工厂场工作员
00A6A1D0	Chinese Boss	中国老板
00A6A1E0	Chinese Goon	中国员工
00A6A1F0	Chinese Goon 2	中国员工2
00A6A200	Chinese Goon 3	中国员工3
00A6A210	Chinese Goon Older	中国年长员工
00A6A224	Chip	q普
00A6A230	Claude Speed	克劳德斯
00A6A240	Clay Jackson (The Pain Giver)	克莱杰克逊
00A6A260	Clay Simons (The Lost)	迷失摩托帮成员
00A6A278	Cletus	图斯
00A6A280	Clown	x丑
00A6A288	Construction Worker	建筑工地工人
00A6A2A0	Construction Worker 2	建筑工地工人 2
00A6A2B8	Cop	警
00A6A2C0	Cop Female	女警察
00A6A2D0	Cop Male	男警
00A6A2E0	Corpse Female	女性尸体
00A6A2F0	Corpse Young Female	年轻女性尸体
00A6A308	Corpse Young Female 2	年轻女性尸体 2
00A6A320	Crew Member	船员
00A6A330	Cris Formage	克里斯吉
00A6A340	Customer	顾客
00A6A350	Cyclist Male	男骑行者
00A6A360	Cyclist Male 2	男骑行者 2
00A6A370	Dale	戴
00A6A378	Dave Norton	戴夫·诺
00A6A388	Dead Hooker	死妓女
00A6A394	Dealer	毒贩
00A6A39C	Debra	黛
00A6A3A4	Denise	丹妮
00A6A3B0	Denise's Friend	丹妮的朋友
00A6A3C0	Devin Weston	德文韦斯
00A6A3D0	Devin's Security	德文的保安
00A6A3E8	DOA Man	死男
00A6A3F0	Dock Worker	码头工
00A6A400	Dock Worker 2	码头工人2
00A6A410	Doctor	医生
00A6A418	Dom Beasley	比斯利
00A6A428	Doorman	门卫
00A6A430	Downhill Cyclist	下坡骑行者
00A6A448	Downtown Female	市中心女性
00A6A458	Downtown Male	市中心男
00A6A468	Dr. Friedlander	德兰德医生
00A6A478	Dressy Female	漂亮女性
00A6A488	DW Airport Worker	德文机场工
00A6A4A0	East SA Female	洛圣都女
00A6A4B0	East SA Female 2	洛圣都女 2
00A6A4C8	East SA Male	洛圣都男
00A6A4D8	East SA Male 2	洛圣都男 2
00A6A4E8	East SA Young Female	洛圣都年轻女
00A6A500	East SA Young Female 2	洛圣都年轻女性2
00A6A518	East SA Young Female 3	洛圣都年轻女性3
00A6A530	East SA Young Male	洛圣都年轻男
00A6A548	East SA Young Male 2	洛圣都年轻男 2
00A6A560	Ed Toh	艾德
00A6A568	Epsilon Female	伊普教女
00A6A578	Epsilon Male	伊普教男
00A6A588	Epsilon Male 2	伊普教男 2
00A6A598	Epsilon Tom	汤姆
00A6A5A8	Ex-Army Male	退伍军男
00A6A5B8	Ex-Mil Bum	退伍汉
00A6A5C4	Fabien	比安
00A6A5D0	Factory Worker Female	加工厂女员工
00A6A5E8	Factory Worker Male	加工厂男员工
00A6A600	Families CA Male	家庭帮CA男
00A6A618	Families DD Male	家庭帮DD男
00A6A630	Families DNF Male	家庭帮DNF男
00A6A648	Families Female	家庭帮派女
00A6A658	Families FOR Male	家庭帮FOR男
00A6A670	Families Gang Member	截图帮派成员
00A6A688	Farmer	农民
00A6A690	Fat Black Female	肥胖黑人女
00A6A6A8	Fat Cult Female	肥胖邪教女
00A6A6B8	Fat Latino Male	胖拉丁裔男
00A6A6C8	Fat White Female	肥胖白人女
00A6A6E0	Female Agent	女性特工
00A6A6F0	Ferdinand Kerimov (Mr. K)	费迪南德;克里莫夫
00A6A710	FIB Architect	FIB建筑师
00A6A720	FIB Mugger	FIB劫匪
00A6A730	FIB Office Worker	FIB办室职员
00A6A748	FIB Office Worker 2	FIB办公人员2
00A6A760	FIB Security	FIB安保员
00A6A770	FIB Suit	FIB男
00A6A780	Financial Guru	金融专家
00A6A790	Fireman Male	男消防员
00A6A7A0	Fitness Female	健身女性
00A6A7B0	Fitness Female 2	健身女性2
00A6A7C8	Floyd Hebert	弗洛伊德
00A6A7D8	FOS Rep	代表
00A6A7E0	Gaffer	摄影
00A6A7E8	Garbage Worker	垃圾工人
00A6A7F8	Gardener	园丁
00A6A808	Gay Male	同性
00A6A818	Gay Male 2	同性恋2
00A6A828	General Fat Male	普通肥胖男1
00A6A840	General Fat Male 2	普通肥胖男2
00A6A858	General Hot Young Female	普通年轻性感女性
00A6A878	General Street Old Female	普通街头老年女性
00A6A898	General Street Old Male	普通街头老年男
00A6A8B0	General Street Young Male	普通街头年轻男性1
00A6A8D0	General Street Young Male 2	普通街头年轻男性2
00A6A8F0	Glenstank Male	坦克男性
00A6A900	Golfer Male	高尔夫
00A6A910	Golfer Young Female	年轻女高尔夫
00A6A928	Golfer Young Male	年轻男高尔
00A6A93C	Griff	格
00A6A944	Grip	摄
00A6A94C	Groom	x郎
00A6A958	Grove Street Dealer	格罗夫街毒贩
00A6A970	Guadalope	瓜达卢
00A6A97C	Guido	意
00A6A988	Gun Vendor	枪商贩
00A6A994	Gurk	克
00A6A9A0	Hairdresser Male	男性理发师
00A6A9B4	Hao	浩
00A6A9B8	Hasidic Jew Male	犹太教徒男
00A6A9D0	Hasidic Jew Young Male	年轻犹太教徒男
00A6A9E8	Hick	乡
00A6A9F0	High Security	高级安保
00A6AA00	High Security 2	高级安保2
00A6AA10	Highway Cop	高速警
00A6AA20	Hiker Female	女徒步者
00A6AA30	Hiker Male	男徒步
00A6AA40	Hillbilly Male	山地居民
00A6AA50	Hillbilly Male 2	山地居民男2
00A6AA68	Hippie Female	嬉皮女性
00A6AA78	Hippie Male	嬉皮男
00A6AA88	Hippie Male 2	嬉皮男性2
00A6AA98	Hipster	青年
00A6AAA0	Hipster Female	青年女性
00A6AAB0	Hipster Female 2	时尚青年女2
00A6AAC8	Hipster Female 3	时尚青年女3
00A6AAE0	Hipster Female 4	时尚青年女4
00A6AAF8	Hipster Male	时尚少男
00A6AB08	Hipster Male 2	时尚少男2
00A6AB18	Hipster Male 3	时尚少男3
00A6AB28	Hooker	妓女
00A6AB30	Hooker 2	妓女2
00A6AB40	Hooker 3	妓女3
00A6AB50	Hospital Scrubs Female	医院护士女性
00A6AB68	Hot Posh Female	时尚富有女
00A6AB78	Hugh Harrison	休哈里森
00A6AB88	Hunter	猎人
00A6AB90	IAA Security	IAA安保
00A6ABA0	Impotent Rage	阳痿患者
00A6ABB0	Imran Shinowa	伊姆辛诺
00A6ABC0	Indian Male	印度男
00A6ABD0	Indian Old Female	印度老年女
00A6ABE8	Indian Young Female	印度年轻女性
00A6AC00	Indian Young Male	印度年轻男
00A6AC14	Jane	简
00A6AC1C	Janet	珍
00A6AC28	Janitor	清洁
00A6AC30	Jay Norris	诺里斯
00A6AC40	Jesco White (Tapdancing Hillbilly)	杰斯科 · 怀特
00A6AC64	Jesus	稣
00A6AC70	Jetskier	摩艇
00A6AC80	Jewel Heist Driver	珠宝抢劫司机
00A6AC98	Jewel Heist Hacker	珠宝抢劫黑客
00A6ACB0	Jewel Thief	珠宝贼
00A6ACC0	Jeweller Assistant	珠宝店助理
00A6ACD8	Jeweller Security	珠宝店保安
00A6ACF0	Jimmy Boston	吉米波士
00A6AD00	Jimmy De Santa	吉米·德桑
00A6AD10	Jogger Female	女慢跑者
00A6AD20	Jogger Male	男慢跑
00A6AD30	Jogger Male 2	男慢跑者2
00A6AD40	John Marston	约翰斯顿
00A6AD50	Johnny Klebitz	克莱比茨
00A6AD60	Josef	瑟
00A6AD68	Josh	乔
00A6AD70	Juggalo Female	女小丑党
00A6AD80	Juggalo Male	男小丑党
00A6AD90	Justin	贾斯
00A6AD98	Karen Daniels	凯伦 丹尼
00A6ADA8	Kerry McIntosh	凯瑞·麦金
00A6ADB8	Kifflom Guy	洛姆男
00A6ADC8	Korean Boss	韩国太
00A6ADD8	Korean Female	韩国女性
00A6ADE8	Korean Female 2	韩国女性2
00A6ADF8	Korean Lieutenant	韩国中尉
00A6AE10	Korean Male	韩国男
00A6AE20	Korean Old Female	韩国老年女
00A6AE38	Korean Old Male	韩国老年男
00A6AE48	Korean Young Male	韩国年轻男
00A6AE60	Korean Young Male 2	韩国年轻男性2
00A6AE78	Korean Young Male 3	韩国年轻男性3
00A6AE90	Korean Young Male 4	韩国年轻男性4
00A6AEA8	Lamar Davis	拉马尔
00A6AEB8	Latino Handyman Male	拉丁裔员工男
00A6AED0	Latino Street Male 2	拉丁裔街头男2
00A6AEE8	Latino Street Young Male	拉丁裔街头年轻男
00A6AF08	Latino Young Male	拉裔年轻男
00A6AF1C	Lazlow	兹洛
00A6AF28	Lester Crest	莱斯特
00A6AF38	Life Invader Male 1	生活入侵者男1
00A6AF50	Life Invader Male 2	生活入侵者男2
00A6AF68	Line Cook	餐馆厨
00A6AF78	Love Fist Willy	威利慕斯
00A6AF88	LS Metro Worker Male	洛圣都地铁工
00A6AFA0	Magenta	玛真
00A6AFA8	Maid	仆
00A6AFB0	Malibu Male	马里男
00A6AFBC	Mani	尼
00A6AFC4	Manuel	曼努
00A6AFD0	Mariachi	乐队
00A6AFDC	Marine	海军
00A6AFE8	Marine 2	海军 2
00A6AFF8	Marine 3	海军 3
00A6B008	Marine Young	年轻海军
00A6B018	Marine Young 2	年轻海军 2
00A6B028	Mark Fostenburg	马克·福斯
00A6B038	Marnie Allen	玛妮艾伦
00A6B048	Martin Madrazo	马丁·马德
00A6B058	Mary-Ann Quinn	玛丽安·奎
00A6B068	Maude	莫
00A6B070	Mechanic	技工
00A6B080	Mechanic 2	技工2
00A6B090	Merryweather Merc	雇佣兵成员
00A6B0A8	Meth Addict	瘾君子
00A6B0B8	Mexican	墨西
00A6B0C0	Mexican Boss	墨西哥大
00A6B0D0	Mexican Boss 2	墨西哥大 2
00A6B0E0	Mexican Gang Member	墨西哥帮成员
00A6B0F8	Mexican Goon	墨西哥打
00A6B108	Mexican Goon 2	墨西哥手2
00A6B118	Mexican Goon 3	墨西哥打3
00A6B128	Mexican Labourer	墨西哥劳工
00A6B140	Mexican Rural	墨西哥民
00A6B150	Mexican Thug	墨西暴徒
00A6B160	Migrant Female	女移民
00A6B170	Migrant Male	男移民
00A6B180	Milton McIlroy	基尔罗伊
00A6B190	Mime Artist	剧演员
00A6B1A0	Minuteman Joe	爱国者乔
00A6B1B0	Miranda	米兰
00A6B1B8	Mistress	情妇
00A6B1C4	Misty	蒂
00A6B1CC	Molly	莉
00A6B1D8	Money Man	金融家
00A6B1E8	Motocross Biker	越野摩托手
00A6B1F8	Motocross Biker 2	越野摩托手 2
00A6B210	Movie Astronaut	电影宇航员
00A6B220	Movie Director	电影导演
00A6B230	Movie Premiere Female	电影首映女性
00A6B248	Movie Premiere Male	电影首映男性
00A6B260	Movie Star Female	女电影明星
00A6B278	Mrs. Phillips	已婚女性1
00A6B288	Mrs. Thornhill	已婚女性2
00A6B298	Natalia	莉亚
00A6B2A0	Nervous Ron	罗恩
00A6B2AC	Nigel	杰
00A6B2B8	Niko Bellic	GTA4 尼克
00A6B2C8	OG Boss	老大
00A6B2D0	Old Man 1	老年男
00A6B2E0	Old Man 2	老男子
00A6B2EC	Omega	欧
00A6B2F8	O'Neil Brother	奥尼尔兄
00A6B308	Ortega	奥特
00A6B310	Oscar	奥
00A6B318	Paige Harris	哈里斯
00A6B328	Paparazzi Male	狗仔队男
00A6B338	Paparazzi Young Male	年轻狗仔队男
00A6B350	Paramedic	医护员
00A6B360	Party Target	派对目标
00A6B370	Partygoer	派对者
00A6B380	Patricia	帕特
00A6B390	Patrick McReary & Others	帕特里克麦克雷里
00A6B3B0	Pest Control	除虫员工
00A6B3C0	Peter Dreyfuss	彼得·德雷
00A6B3D0	Pilot	飞
00A6B3D8	Pilot 2	飞行2
00A6B3E0	Pilot 3	飞员3
00A6B3E8	Pogo The Monkey	猴子波戈
00A6B3F8	Polynesian	波利人
00A6B408	Polynesian Goon	尼西亚打手
00A6B418	Polynesian Goon 2	尼西亚打手 2
00A6B430	Polynesian Young	年轻波利人
00A6B448	Poppy Mitchell	波比·米切
00A6B458	Porn Dude	男演员
00A6B468	Postal Worker Male	邮政工人男性
00A6B480	Postal Worker Male 2	邮政工人男性2
00A6B498	Priest	牧师
00A6B4A0	Princess	公主
00A6B4B0	Prison Guard	监狱警卫
00A6B4C0	Prisoner	囚犯
00A6B4D0	Prisoner 2	囚犯2
00A6B4E0	Prisoner (Muscular)	(肌肉型) 囚犯
00A6B4F8	Prologue Driver	序幕司机
00A6B508	Prologue Host Female	序幕主持女性
00A6B520	Prologue Host Male	序幕主持男性
00A6B538	Prologue Host Old Female	序幕主持老年女性
00A6B558	Prologue Mourner Female	序幕悼念女性
00A6B570	Prologue Mourner Male	序幕悼念男性
00A6B588	Prologue Security	序幕安保
00A6B5A0	Prologue Security (Shot)	序幕安保（中枪）
00A6B5C0	Prologue Security 2	序幕安保2
00A6B5D4	Pros	妓
00A6B5E0	Ranger Female	女护林员
00A6B5F0	Ranger Male	男护林
00A6B600	Reporter	记者
00A6B610	Republican Space Ranger	共和太空护林员
00A6B628	Richard Lukens	理查德
00A6B638	Rival Paparazzo	竞争狗仔队
00A6B648	Road Cyclist	自行车手
00A6B658	Robber	劫犯
00A6B660	Rocco Pelosi	洛克佩洛
00A6B670	Rural Meth Addict Female	女性冰毒成瘾者
00A6B690	Rural Meth Addict Male	男性冰毒成瘾者
00A6B6A8	Russian Drunk	俄罗斯人
00A6B6B8	Sales Assistant (High-End)	销售助理（高端）
00A6B6D8	Sales Assistant (Low-End)	销售助理（低端）
00A6B6F8	Sales Assistant (Mask Stall)	销售助理 (面具摊位)
00A6B718	Sales Assistant (Mid-Price)	销售助理（中档）
00A6B738	Salton Female	萨尔顿女
00A6B748	Salton Male	萨尔男
00A6B758	Salton Male 2	萨尔顿男2
00A6B768	Salton Male 3	萨尔顿男3
00A6B778	Salton Male 4	萨尔顿男4
00A6B788	Salton Old Female	萨尔老年女
00A6B7A0	Salton Old Male	萨尔老年男
00A6B7B0	Salton Young Male	萨尔年轻男
00A6B7C8	Salvadoran Boss	萨尔瓦老大
00A6B7D8	Salvadoran Goon	萨尔瓦打手
00A6B7E8	Salvadoran Goon 2	萨尔瓦打手2
00A6B800	Salvadoran Goon 3	萨尔瓦打手3
00A6B818	Scientist	科学家
00A6B828	Screenwriter	编剧
00A6B838	Security Guard	保安
00A6B848	Sheriff Female	女警长
00A6B858	Sheriff Male	男警长
00A6B868	Shopkeeper	店主
00A6B878	Simeon Yetarian	西蒙·耶塔
00A6B888	Skater Female	滑板女孩
00A6B898	Skater Male	滑板男
00A6B8A8	Skater Young Male	年轻滑板男
00A6B8C0	Skater Young Male 2	年轻滑板男孩2
00A6B8D8	Skid Row Female	贫民区女性
00A6B8E8	Skid Row Male	贫民区男
00A6B8F8	Snow Cop Male	雪地警察
00A6B908	Solomon Richards	所罗理查兹
00A6B920	South Central Female	南中央女性
00A6B938	South Central Female 2	南中央女性2
00A6B950	South Central Latino Male	南中央拉丁裔男性
00A6B970	South Central Male	南中央男性
00A6B988	South Central Male 2	南中央男性2
00A6B9A0	South Central Male 3	南中央男性3
00A6B9B8	South Central Male 4	南中央男性4
00A6B9D0	South Central MC Female	南中部摩托车女
00A6B9E8	South Central Old Female	南中部年长女性
00A6BA08	South Central Old Female 2	南中部年长女性2
00A6BA28	South Central Old Male	南中部年长男性
00A6BA40	South Central Old Male 2	南中部年长男性2
00A6BA60	South Central Old Male 3	南中部年长男性3
00A6BA80	South Central Young Female	南中部年轻女性
00A6BAA0	South Central Young Female 2	南中部年轻女性2
00A6BAC0	South Central Young Female 3	南中部年轻女性3
00A6BAE0	South Central Young Male	南中部年轻男性
00A6BB00	South Central Young Male 2	南中部年轻男性2
00A6BB20	South Central Young Male 3	南中部年轻男性3
00A6BB40	South Central Young Male 4	南中部年轻男性4
00A6BB60	Sports Biker	运动骑手
00A6BB70	Spy Actor	间谍男
00A6BB80	Spy Actress	间谍女
00A6BB90	Stag Party Groom	单身派新郎
00A6BBA8	Steve Haines	史蒂夫
00A6BBB8	Street Performer	街头艺人
00A6BBD0	Street Preacher	街头传教士
00A6BBE0	Street Punk	街头朋
00A6BBF0	Street Punk 2	街头朋克2
00A6BC00	Street Vendor	街头小贩
00A6BC10	Street Vendor Young	年轻街头小贩
00A6BC28	Stretch	雷奇
00A6BC30	Stripper	脱衣
00A6BC40	Stripper 2	脱衣女2
00A6BC50	Sunbather Male	男日光浴
00A6BC60	Surfer	冲浪
00A6BC68	SWAT	t警
00A6BC70	Sweatshop Worker	血汗厂工人
00A6BC88	Sweatshop Worker Young	年轻血汗厂工人
00A6BCA0	Taliana Martinez	塔丽安娜
00A6BCB8	Tanisha	塔尼
00A6BCC0	Tao Cheng	陶成
00A6BCD0	Tao's Translator	陶成翻译员
00A6BCE8	Tattoo Artist	纹身师
00A6BCF8	Tennis Coach	网球教练
00A6BD08	Tennis Player Female	女性网球选手
00A6BD20	Tennis Player Male	男性网球选手
00A6BD34	Terry	特
00A6BD40	The Lost MC Female	迷失摩托帮女
00A6BD58	The Lost MC Male	迷失摩托男
00A6BD70	The Lost MC Male 2	迷失摩托男2
00A6BD88	The Lost MC Male 3	迷失摩托男3
00A6BD9C	Tom	汤
00A6BDA0	Tonya	托
00A6BDA8	Topless	裸露
00A6BDB0	Tourist Female	女性游客
00A6BDC0	Tourist Male	男性游客
00A6BDD0	Tourist Young Female	年轻女性游客
00A6BDE8	Tourist Young Female 2	年轻女性游客2
00A6BE00	Tracey De Santa	特蕾德圣塔
00A6BE10	Traffic Warden	公路管理
00A6BE20	Tramp Female	女流浪者
00A6BE30	Tramp Male	男流浪
00A6BE40	Tramp Old Male	老年流浪
00A6BE50	Tramp Old Male 2	老年男流浪2
00A6BE68	Transport Worker Male	男性运输工人
00A6BE80	Transvestite Male	男性异装者
00A6BE98	Transvestite Male 2	男性异装者2
00A6BEB0	Trucker Male	男卡车员
00A6BEC0	Tyler Dixon	泰勒·迪
00A6BED0	United Paper Man	联合纸业员
00A6BEE8	UPS Driver	UPS快递
00A6BEF8	UPS Driver 2	UPS快递2
00A6BF08	US Coastguard	海岸警卫
00A6BF18	Vagos Female	瓦戈帮女
00A6BF28	Valet	停C
00A6BF30	Vespucci Beach Male	海滩男性
00A6BF48	Vespucci Beach Male 2	海滩男性2
00A6BF60	Vinewood Douche	好莱坞小人
00A6BF70	Vinewood Female	好莱坞女性
00A6BF80	Vinewood Female 2	好莱坞女性2
00A6BF98	Vinewood Female 3	好莱坞女性3
00A6BFB0	Vinewood Female 4	好莱坞女性4
00A6BFC8	Vinewood Male	好莱坞男
00A6BFD8	Vinewood Male 2	好莱坞男2
00A6BFE8	Vinewood Male 3	好莱坞男3
00A6BFF8	Vinewood Male 4	好莱坞男4
00A6C008	Wade	伟
00A6C010	Waiter	服员
00A6C018	Wei Cheng	魏成
00A6C028	White Street Male	白人街区男
00A6C040	White Street Male 2	白人街区男性2
00A6C058	Window Cleaner	擦窗工人
00A6C068	Yoga Female	女瑜伽
00A6C078	Yoga Male	男瑜伽
00A6C084	Zimbor	辛博
00A6C090	Zombie1	丧尸1
00A6C098	Zombie2	丧尸2
00A6C0A0	Zombie3	丧尸3
00A6EA00	&Me	凯
00A6EA08	Acid Lab Cook	生化实验
00A6EA18	Adam Port	亚当
00A6EA28	Agent 14	特工14
00A6EA34	Avery	弗
00A6EA40	Avi Schwartzman	阿维施瓦茨
00A6EA50	Avon Hertz	艾文赫
00A6EA60	Avon's Goon	艾文的
00A6EA70	Bail Office	保金
00A6EA80	Ballas Leader	巴拉斯帮
00A6EA90	Bank Robber	银劫匪
00A6EA9C	Benny	贝
00A6EAA8	Billionaire	亿富翁
00A6EAB4	Bogdan	博格
00A6EAC0	Bogdan's Goon	博格打手
00A6EAD0	Bounty Target 1	通缉目标1
00A6EAE0	Bounty Target 2	通缉目标2
00A6EAF0	Bounty Target 3	通缉目标3
00A6EB00	Bounty Target 4	通缉目标4
00A6EB10	Bounty Target 6	通缉目标6
00A6EB20	Brucie	布鲁
00A6EB28	Car Club Female	汽车俱乐部
00A6EB38	Cartel Goons	卡特打手
00A6EB48	Call Girl 1	应召女1
00A6EB58	Call Girl 2	应召女2
00A6EB68	Chef (CS)	厨师CS
00A6EB78	Chef (IG)	厨师IG
00A6EB88	Clifford's Juggernaut	克利福德
00A6EBA0	Club Bartender Female	夜总会女调酒师
00A6EBB8	Club Bouncer	夜总保安
00A6EBC8	Club Customer Female	夜总会女顾客
00A6EBE0	Club Customer Male	夜总会男顾客
00A6EBF8	Dax (CS)	达克CS
00A6EC08	Dax (IG)	达克IG
00A6EC18	Dance Party Coordinator	舞会协调员
00A6EC30	Dima Popov	迪玛波
00A6EC40	DJ Aurelia	DJ奥雷
00A6EC50	DJ Black Madonna	DJ黑麦当娜
00A6EC68	DJ Dixon	DJ迪克
00A6EC78	DJ Dixon's Manager	迪克森经理
00A6EC90	DJ Fotios	DJ福斯
00A6ECA0	DJ Ignazio	DJ伊格
00A6ECB0	DJ Jakob	DJ雅各
00A6ECC0	DJ Mike T	DJ迈克T
00A6ECD0	DJ Palms Trax	帕尔姆斯
00A6ECE0	DJ Pooh	DJ普
00A6ECE8	DJ Rob T	DJ罗布
00A6ECF8	DJ Rupert	鲁珀特
00A6ED08	DJ Ryan S	DJ瑞恩
00A6ED18	Dr. Dre	德雷
00A6ED20	Dr. Friedlander 2 (CS)	弗莱德兰德医生2
00A6ED38	Dr. Friedlander 2 (IG)	弗莱德兰德医生2
00A6ED50	Drug Dealer	毒贩
00A6ED60	English Dave	英国戴夫
00A6ED70	Enrique	里克
00A6ED78	Entourage A	随行员A
00A6ED88	Entourage B	随行员B
00A6ED98	Female Club Dancer (Burlesque)	女夜总会舞者/滑稽
00A6EDB8	Female Club Dancer (Leather)	女夜总会舞者/皮革
00A6EDD8	Female Club Dancer (Rave)	女夜总会舞者/狂欢
00A6EDF8	Field Worker	田间工人
00A6EE08	Furry (IG)	毛茸茸
00A6EE18	Fooliganz 1	流氓1
00A6EE28	Fooliganz 2	流氓2
